Fighter,Opponent,Result,Method
Alexis “Barboza” Nicolas,Regian Eersel,LOSS,Majority Decision
Alexis “Barboza” Nicolas,Regian Eersel,LOSS,Unanimous Decision
Alexis “Barboza” Nicolas,Regian Eersel,WIN,Unanimous Decision
Alexis “Barboza” Nicolas,Magomed Magomedov,WIN,Unanimous Decision
Allycia Hellen Rodrigues,Marie McManamon,WIN,TKO
Allycia Hellen Rodrigues,Cristina Morales,WIN,Unanimous Decision
Allycia Hellen Rodrigues,Smilla Sundell,LOSS,TKO
Allycia Hellen Rodrigues,Janet Todd,WIN,Unanimous Decision
Allycia Hellen Rodrigues,Stamp Fairtex,WIN,Majority Decision
Anatoly “Sladkiy” Malykhin,Oumar Kane,LOSS,Split Decision
Anatoly “Sladkiy” Malykhin,Reinier de Ridder,WIN,TKO
Anatoly “Sladkiy” Malykhin,Arjan Bhullar,WIN,TKO
Anatoly “Sladkiy” Malykhin,Reinier de Ridder,WIN,Knockout
Anatoly “Sladkiy” Malykhin,Kirill Grishenko,WIN,Knockout
Anatoly “Sladkiy” Malykhin,Amir Aliakbari,WIN,Knockout
Anatoly “Sladkiy” Malykhin,Alexandre Machado,WIN,TKO
“Unstoppable” Angela Lee,Xiong Jing Nan,LOSS,Unanimous Decision
“Unstoppable” Angela Lee,Stamp Fairtex,WIN,Submission
“Unstoppable” Angela Lee,Xiong Jing Nan,WIN,Submission
“Unstoppable” Angela Lee,Michelle Nicolini,LOSS,Unanimous Decision
“Unstoppable” Angela Lee,Xiong Jing Nan,LOSS,Knockout
“Unstoppable” Angela Lee,Mei Yamaguchi,WIN,Unanimous Decision
“Unstoppable” Angela Lee,Istela Nunes,WIN,Submission
“Unstoppable” Angela Lee,Jenny Huang,WIN,TKO
“Unstoppable” Angela Lee,Mei Yamaguchi,WIN,Unanimous Decision
“Unstoppable” Angela Lee,Rebecca Heintzman-Rozewski,WIN,Submission
“Unstoppable” Angela Lee,Lena Tkhorevska,WIN,Submission
“Unstoppable” Angela Lee,Natalie Gonzales Hills,WIN,Submission
“Unstoppable” Angela Lee,Mona Samir,WIN,Submission
“Unstoppable” Angela Lee,Aya Saber,WIN,Submission
Chingiz “Chinga” Allazov,Marat Grigorian,WIN,Unanimous Decision
Chingiz “Chinga” Allazov,Superbon,WIN,Knockout
Chingiz “Chinga” Allazov,Sitthichai Sitsongpeenong,WIN,Unanimous Decision
Chingiz “Chinga” Allazov,Jo Nattawut,WIN,Knockout
Chingiz “Chinga” Allazov,Samy Sana,WIN,Knockout
Chingiz “Chinga” Allazov,Enriko Kehl,LOSS,Split Decision
Christian “The Warrior” Lee,Alibeg Rasulov,Unknown,Unknown
Christian “The Warrior” Lee,Kiamrian Abbasov,WIN,TKO
Christian “The Warrior” Lee,Ok Rae Yoon,WIN,TKO
Christian “The Warrior” Lee,Ok Rae Yoon,LOSS,Unanimous Decision
Christian “The Warrior” Lee,Timofey Nastyukhin,WIN,TKO
Christian “The Warrior” Lee,Iuri Lapicus,WIN,TKO
Christian “The Warrior” Lee,Dagi Arslanaliev,WIN,Unanimous Decision
Christian “The Warrior” Lee,Shinya Aoki,WIN,TKO
Christian “The Warrior” Lee,Edward Kelly,WIN,TKO
Christian “The Warrior” Lee,Kazuki Tokudome,WIN,TKO
Christian “The Warrior” Lee,Edward Kelly,LOSS,Disqualification
Christian “The Warrior” Lee,Martin Nguyen,LOSS,Split Decision
Christian “The Warrior” Lee,Kazunori Yokota,WIN,Submission
Christian “The Warrior” Lee,Kotetsu Boku,WIN,TKO
Christian “The Warrior” Lee,Keanu Subba,WIN,Submission
Christian “The Warrior” Lee,Wan Jian Ping,WIN,TKO
Christian “The Warrior” Lee,Martin Nguyen,LOSS,Submission
Christian “The Warrior” Lee,Rocky Batolbatol,WIN,TKO
Christian “The Warrior” Lee,Cary Bullos,WIN,Submission
Christian “The Warrior” Lee,Anthony Engelen,WIN,TKO
Christian “The Warrior” Lee,Mahmoud Mohamed,WIN,Submission
Christian “The Warrior” Lee,David Meak,WIN,TKO
Danielle Kelly,Mayssa Bastos,LOSS,Unanimous Decision
Danielle Kelly,Mayssa Bastos,LOSS,Unanimous Decision
Danielle Kelly,Jessa Khan,WIN,Unanimous Decision
Danielle Kelly,Ayaka Miura,WIN,Unanimous Decision
Danielle Kelly,Mariia Molchanova,WIN,Submission
Danielle Kelly,Mei Yamaguchi,Unknown,Unknown
Demetrious “Mighty Mouse” Johnson,Adriano Moraes,WIN,Unanimous Decision
Demetrious “Mighty Mouse” Johnson,Adriano Moraes,WIN,Knockout
Demetrious “Mighty Mouse” Johnson,Rodtang Jitmuangnon,WIN,Submission
Demetrious “Mighty Mouse” Johnson,Adriano Moraes,LOSS,Knockout
Demetrious “Mighty Mouse” Johnson,Danny Kingad,WIN,Unanimous Decision
